iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,field_cd_name
308,1.0,Male,2,2,12,14,6,6.0,6,1,294.0,0,0.03,1,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,4.0,9.0,9.0,6.0,8.0,6.0,9.0,6.0,2.0,27.0,Cognitive Studies in Education,9.0,Taiwan University,,,Asian_American,7.0,3.0,"Cambridge, Massachusetts","11,137",,1.0,7.0,2.0,Academia; Research; Teaching,2.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,3.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,7.0,7.0,,17.0,19.0,18.0,17.0,11.0,18.0,19.0,17.0,18.0,19.0,11.0,16.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,10.0,8.0,8.0,7.0,7.0,10.0,8.0,8.0,7.0,1,9.0,9.0,9.0,8.0,7.0,8.0,9.0,6.0,0.0,2.0,,,,,,,,,,,,8.0,1.0,1.0,,,,,,,17.0,20.0,18.0,17.0,11.0,17.0,19.0,17.0,18.0,19.0,11.0,16.0,21.0,17.0,16.0,18.0,14.0,14.0,5.0,10.0,9.0,8.0,5.0,5.0,8.0,9.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Academia "
309,2.0,Male,4,2,12,14,6,6.0,9,1,294.0,0,0.46,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,7.0,9.0,8.0,9.0,7.0,7.0,7.0,3.0,2.0,32.0,education,9.0,SUNY Albany,"1,185.00","9,620.00",Caucasian_American,5.0,9.0,NYC,"10,463","30,587.00",3.0,3.0,2.0,curriculum developer,2.0,6.0,4.0,4.0,9.0,8.0,10.0,8.0,5.0,7.0,9.0,6.0,8.0,9.0,8.0,10.0,4.0,4.0,7.0,,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,25.0,10.0,10.0,30.0,10.0,15.0,25.0,10.0,10.0,7.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,9.0,0,10.0,10.0,10.0,10.0,10.0,,8.0,3.0,0.0,5.0,,,,,,,,,,,,7.0,1.0,3.0,,,,,,,30.0,10.0,20.0,20.0,5.0,15.0,30.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,20.0,20.0,10.0,6.0,10.0,10.0,7.0,6.0,6.0,10.0,10.0,7.0,6.0,0.0,0.0,0.0,,,20.0,10.0,30.0,20.0,10.0,10.0,30.0,20.0,10.0,10.0,15.0,15.0,20.0,10.0,15.0,15.0,30.0,10.0,20.0,10.0,10.0,20.0,20.0,20.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,10.0,10.0,7.0,"Education, Academia "
310,3.0,Male,6,2,12,14,6,6.0,2,1,294.0,0,0.21,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,5.0,6.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,25.0,Computer Science,5.0,UPenn,"1,400.00","26,630.00",Caucasian_American,7.0,8.0,NJ,"10,021","55,080.00",1.0,3.0,1.0,?,10.0,2.0,2.0,3.0,7.0,6.0,6.0,3.0,8.0,5.0,9.0,8.0,7.0,9.0,5.0,6.0,5.0,3.0,6.0,,24.0,15.0,20.0,20.0,8.0,13.0,25.0,10.0,18.0,22.0,13.0,12.0,21.0,17.0,16.0,15.0,13.0,18.0,7.0,6.0,8.0,7.0,4.0,7.0,5.0,9.0,7.0,5.0,0,7.0,7.0,8.0,6.0,7.0,5.0,7.0,6.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering
311,4.0,Male,8,2,12,14,6,6.0,11,1,294.0,0,-0.03,1,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,6.0,6.0,6.0,5.0,8.0,2.0,6.0,1.0,2.0,29.0,Finance/Economics,8.0,Columbia College,"1,430.00","26,908.00",Asian_American,1.0,1.0,New York,"11,746","57,513.00",2.0,6.0,1.0,Entrepreneur,7.0,10.0,8.0,9.0,10.0,7.0,6.0,8.0,9.0,1.0,7.0,4.0,6.0,8.0,10.0,10.0,9.0,8.0,8.0,,50.0,20.0,10.0,10.0,5.0,5.0,50.0,10.0,20.0,5.0,5.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,9.0,9.0,10.0,9.0,3.0,9.0,5.0,5.0,10.0,2.0,0,6.0,7.0,8.0,5.0,4.0,5.0,7.0,5.0,,4.0,,,,,,,,,,,,7.0,1.0,2.0,,,,,,,50.0,20.0,5.0,10.0,5.0,10.0,50.0,15.0,10.0,5.0,10.0,10.0,20.0,10.0,25.0,10.0,20.0,15.0,9.0,9.0,9.0,10.0,3.0,8.0,8.0,9.0,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business/Econ/Finances
312,5.0,Male,10,2,12,14,6,6.0,5,1,294.0,0,0.17,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,6.0,8.0,7.0,7.0,7.0,7.0,8.0,4.0,2.0,23.0,Museum Anthropology,15.0,Brown,"1,400.00","27,395.00",Caucasian_American,3.0,1.0,NYC,"10,025","33,772.00",2.0,4.0,2.0,Museum Work (Curation?),6.0,7.0,7.0,5.0,7.0,9.0,8.0,10.0,5.0,3.0,8.0,5.0,6.0,9.0,7.0,8.0,2.0,1.0,5.0,,25.0,5.0,30.0,15.0,5.0,20.0,50.0,0.0,10.0,25.0,0.0,15.0,25.0,20.0,10.0,20.0,15.0,10.0,8.0,7.0,7.0,9.0,9.0,9.0,10.0,8.0,5.0,9.0,1,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,0.0,2.0,,,,,,,,,,,,6.0,1.0,3.0,,,,,,,30.0,10.0,20.0,15.0,10.0,15.0,40.0,10.0,10.0,15.0,10.0,15.0,35.0,15.0,15.0,10.0,10.0,15.0,8.0,7.0,9.0,7.0,8.0,8.0,9.0,8.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fine Arts/Arts Administration
313,6.0,Male,12,2,12,14,6,6.0,13,1,294.0,0,0.26,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,5.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,2.0,27.0,Business,8.0,Brown,"1,400.00","27,395.00",Caucasian_American,2.0,3.0,Boston,"1,173",,1.0,4.0,1.0,Music Industry,6.0,9.0,8.0,6.0,8.0,6.0,3.0,6.0,1.0,9.0,6.0,3.0,2.0,7.0,8.0,10.0,5.0,1.0,6.0,,19.0,13.0,18.0,18.0,10.0,22.0,25.0,10.0,15.0,20.0,15.0,15.0,20.0,15.0,15.0,15.0,25.0,10.0,7.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,6.0,0,6.0,5.0,6.0,7.0,8.0,8.0,6.0,7.0,0.0,2.0,,,,,,,,,,,,6.0,3.0,3.0,,,,,,,25.0,15.0,20.0,20.0,5.0,15.0,25.0,10.0,15.0,20.0,15.0,15.0,20.0,15.0,20.0,15.0,15.0,15.0,7.0,7.0,8.0,8.0,4.0,7.0,6.0,7.0,7.0,5.0,1.0,0.0,1.0,1.0,,20.0,15.0,20.0,20.0,5.0,20.0,20.0,15.0,20.0,20.0,5.0,20.0,25.0,10.0,15.0,20.0,15.0,15.0,20.0,20.0,15.0,20.0,15.0,10.0,7.0,8.0,9.0,8.0,5.0,7.0,7.0,8.0,8.0,6.0,Business/Econ/Finances
314,7.0,Male,14,2,12,14,6,6.0,14,1,294.0,0,0.27,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,4.0,9.0,8.0,5.0,9.0,8.0,8.0,2.0,2.0,32.0,Political Science,13.0,Delhi University,,,Other,3.0,1.0,"New Delhi, India",0,,2.0,6.0,2.0,academic or consulting,2.0,9.0,2.0,7.0,8.0,6.0,4.0,2.0,2.0,2.0,6.0,7.0,3.0,7.0,6.0,8.0,8.0,8.0,6.0,,20.0,10.0,30.0,20.0,10.0,10.0,25.0,10.0,10.0,25.0,10.0,20.0,15.0,25.0,10.0,20.0,15.0,15.0,8.0,8.0,8.0,9.0,7.0,7.0,6.0,9.0,5.0,5.0,1,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,2.0,,,,,,,,,,,,8.0,1.0,3.0,,,,,,,20.0,15.0,25.0,20.0,10.0,10.0,25.0,10.0,15.0,25.0,5.0,20.0,15.0,20.0,10.0,25.0,15.0,15.0,7.0,8.0,9.0,7.0,7.0,7.0,5.0,9.0,5.0,4.0,0.0,0.0,0.0,,,20.0,15.0,25.0,15.0,10.0,15.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,15.0,10.0,25.0,10.0,15.0,15.0,20.0,15.0,20.0,15.0,15.0,7.0,7.0,9.0,6.0,8.0,7.0,9.0,9.0,5.0,4.0,Political Science/International Affairs 
315,8.0,Male,16,2,12,14,6,6.0,1,1,294.0,0,0.5,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,6.0,8.0,8.0,6.0,6.0,6.0,7.0,6.0,2.0,27.0,Environmental Engineering,5.0,Princeton U.,"1,460.00","27,230.00",Caucasian_American,1.0,4.0,way too little space here. world citizen.,,,3.0,5.0,3.0,Academia or UN,2.0,8.0,2.0,2.0,8.0,8.0,8.0,8.0,2.0,8.0,7.0,1.0,8.0,9.0,7.0,7.0,2.0,2.0,5.0,,6.67,19.05,42.86,9.52,14.29,7.62,20.0,15.0,15.0,15.0,20.0,15.0,20.0,15.0,20.0,15.0,20.0,10.0,6.0,10.0,6.0,8.0,7.0,5.0,10.0,8.0,6.0,5.0,1,9.0,8.0,10.0,7.0,7.0,7.0,9.0,5.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering
316,9.0,Male,17,2,12,14,6,6.0,3,1,294.0,1,0.2,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,1,8.0,9.0,9.0,9.0,9.0,8.0,8.0,6.0,2.0,25.0,Business,8.0,University of Pennsylvania,"1,400.00","26,630.00",Caucasian_American,3.0,3.0,Philadelphia,"10,019","31,857.00",2.0,4.0,1.0,Investment banking,7.0,9.0,3.0,5.0,7.0,6.0,6.0,6.0,4.0,6.0,9.0,5.0,4.0,4.0,7.0,9.0,4.0,1.0,5.0,,25.0,20.0,15.0,25.0,10.0,5.0,30.0,10.0,15.0,30.0,10.0,5.0,25.0,10.0,20.0,25.0,15.0,5.0,6.0,8.0,7.0,8.0,9.0,5.0,8.0,9.0,7.0,9.0,1,7.0,8.0,9.0,8.0,7.0,6.0,7.0,6.0,0.0,4.0,,,,,,,,,,,,5.0,1.0,2.0,,,,,,,25.0,20.0,15.0,25.0,10.0,5.0,30.0,10.0,15.0,30.0,10.0,5.0,25.0,10.0,20.0,25.0,15.0,5.0,7.0,8.0,9.0,7.0,9.0,6.0,6.0,8.0,7.0,8.0,0.0,2.0,1.0,1.0,,25.0,20.0,15.0,25.0,10.0,5.0,20.0,20.0,20.0,20.0,5.0,15.0,30.0,10.0,15.0,30.0,10.0,5.0,25.0,10.0,20.0,25.0,15.0,5.0,7.0,8.0,7.0,8.0,9.0,6.0,7.0,7.0,6.0,9.0,Business/Econ/Finances
317,10.0,Male,19,2,12,14,6,6.0,7,1,294.0,0,0.5,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,8.0,8.0,7.0,7.0,7.0,5.0,7.0,5.0,2.0,30.0,MBA,8.0,Engineering,,,Caucasian_American,1.0,1.0,Italy,"80,131",,1.0,4.0,1.0,International Development banker,7.0,8.0,1.0,5.0,10.0,6.0,10.0,4.0,3.0,8.0,4.0,1.0,10.0,10.0,8.0,9.0,1.0,1.0,7.0,,50.0,0.0,20.0,20.0,0.0,10.0,40.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,30.0,30.0,0.0,20.0,7.0,3.0,8.0,8.0,5.0,7.0,3.0,8.0,8.0,3.0,1,8.0,7.0,9.0,7.0,7.0,7.0,8.0,7.0,0.0,5.0,,,,,,,,,,,,5.0,1.0,3.0,,,,,,,40.0,0.0,20.0,20.0,0.0,20.0,40.0,0.0,20.0,20.0,0.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,7.0,4.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,7.0,0.0,1.0,0.0,,,50.0,0.0,15.0,20.0,0.0,15.0,50.0,0.0,15.0,20.0,0.0,15.0,40.0,0.0,15.0,20.0,0.0,25.0,35.0,15.0,20.0,10.0,10.0,10.0,7.0,3.0,7.0,8.0,6.0,7.0,6.0,7.0,8.0,6.0,Business/Econ/Finances
318,11.0,Male,21,2,12,14,6,6.0,4,1,294.0,0,-0.25,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,3.0,8.0,8.0,5.0,7.0,5.0,7.0,2.0,2.0,29.0,Business Administration,8.0,Harcourt Butler Technological Institute,,,Other,1.0,1.0,"Ottawa, Canada",,,2.0,6.0,1.0,"Corporate Finance, Asset Management/ Hedge Funds",7.0,8.0,4.0,8.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,6.0,7.0,8.0,5.0,8.0,7.0,6.0,6.0,,40.0,30.0,10.0,8.0,2.0,10.0,5.0,35.0,35.0,10.0,15.0,0.0,20.0,20.0,10.0,25.0,15.0,10.0,6.0,10.0,6.0,10.0,10.0,2.0,10.0,8.0,3.0,6.0,1,6.0,7.0,7.0,6.0,5.0,5.0,6.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business/Econ/Finances
319,12.0,Male,23,2,12,14,6,6.0,10,1,294.0,0,-0.38,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,2.0,8.0,7.0,8.0,7.0,7.0,5.0,1.0,2.0,26.0,Curriculum and Teaching/Giftedness,9.0,Penn State University,"1,260.00","14,388.00",Caucasian_American,2.0,4.0,New Jersey,"7,624",,6.0,7.0,2.0,I am a teacher.,2.0,8.0,7.0,5.0,7.0,5.0,4.0,8.0,7.0,1.0,5.0,7.0,2.0,2.0,10.0,9.0,2.0,3.0,7.0,,20.0,25.0,20.0,10.0,5.0,20.0,25.0,5.0,10.0,15.0,15.0,30.0,35.0,5.0,5.0,15.0,30.0,10.0,5.0,10.0,6.0,9.0,3.0,4.0,7.0,8.0,8.0,9.0,1,10.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,0.0,2.0,,,,,,,,,,,,10.0,1.0,3.0,,,,,,,30.0,20.0,15.0,20.0,5.0,10.0,40.0,10.0,5.0,25.0,15.0,5.0,30.0,10.0,5.0,25.0,20.0,10.0,6.0,8.0,9.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,2.0,1.0,0.0,,1.0,25.0,15.0,25.0,15.0,5.0,15.0,10.0,30.0,10.0,20.0,10.0,20.0,20.0,5.0,5.0,30.0,30.0,10.0,25.0,10.0,10.0,20.0,25.0,10.0,5.0,7.0,9.0,6.0,6.0,4.0,6.0,7.0,5.0,2.0,"Education, Academia "
320,13.0,Male,25,2,12,14,6,6.0,8,1,294.0,0,0.25,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,4.0,5.0,7.0,5.0,7.0,9.0,6.0,2.0,2.0,36.0,History,7.0,UC Davis,"1,242.00","10,704.00",Caucasian_American,6.0,8.0,Pennsylvania,"18,603","23,207.00",4.0,5.0,5.0,Professor or journalist,2.0,4.0,1.0,9.0,9.0,8.0,4.0,6.0,3.0,1.0,10.0,1.0,5.0,7.0,2.0,5.0,2.0,1.0,6.0,,20.0,16.0,16.0,16.0,16.0,16.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,9.0,8.0,1,10.0,8.0,10.0,7.0,9.0,,7.0,5.0,0.0,2.0,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,25.0,20.0,20.0,10.0,10.0,15.0,35.0,10.0,10.0,30.0,10.0,5.0,15.0,25.0,15.0,15.0,25.0,5.0,8.0,9.0,10.0,7.0,7.0,8.0,9.0,9.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History/Religion/Philosophy
321,14.0,Male,27,2,12,14,6,6.0,12,1,294.0,0,0.55,0,30.0,4.0,20.0,20.0,35.0,5.0,10.0,10.0,0,5.0,7.0,7.0,4.0,7.0,1.0,3.0,1.0,2.0,29.0,Business,8.0,Ecole Superieure d'Electricite,,,Caucasian_American,3.0,3.0,France  / New York,0,,1.0,5.0,1.0,Finance,7.0,7.0,4.0,4.0,8.0,5.0,5.0,4.0,2.0,7.0,5.0,2.0,6.0,8.0,6.0,7.0,2.0,1.0,6.0,,30.0,15.0,15.0,20.0,10.0,10.0,25.0,15.0,15.0,15.0,15.0,15.0,40.0,10.0,10.0,30.0,5.0,5.0,6.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,7.0,8.0,0,7.0,7.0,7.0,7.0,5.0,5.0,6.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Business/Econ/Finances
322,1.0,Female,1,1,13,9,1,1.0,7,1,332.0,0,0.34,1,30.0,4.0,60.0,10.0,10.0,10.0,5.0,5.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,34.0,Anthropology,3.0,Kunitachi College of Music (in Japan),,,Asian_American,2.0,1.0,Tokyo and Texas,,,2.0,2.0,2.0,to get Ph.D and be a professor,2.0,8.0,7.0,7.0,6.0,6.0,6.0,9.0,3.0,6.0,7.0,2.0,8.0,8.0,8.0,8.0,3.0,1.0,9.0,,2.0,60.0,15.0,8.0,5.0,10.0,30.0,30.0,20.0,5.0,5.0,10.0,40.0,30.0,10.0,10.0,0.0,10.0,5.0,9.0,8.0,7.0,7.0,4.0,9.0,7.0,7.0,6.0,0,8.0,,10.0,8.0,,10.0,10.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,,5.0,65.0,15.0,5.0,5.0,5.0,0.0,60.0,10.0,15.0,0.0,15.0,0.0,40.0,0.0,30.0,0.0,30.0,10.0,50.0,10.0,10.0,0.0,20.0,2.0,8.0,8.0,6.0,4.0,3.0,8.0,6.0,6.0,5.0,Social Science/Psychologist
323,2.0,Female,3,1,13,9,5,5.0,1,1,332.0,1,0.33,1,30.0,4.0,60.0,10.0,10.0,10.0,5.0,5.0,1,8.0,10.0,9.0,7.0,8.0,8.0,8.0,7.0,2.0,25.0,Instructional Tech & Media,5.0,"Fu Jen Catholic University, Taiwan",,,Asian_American,1.0,1.0,Taiwan,,,2.0,4.0,3.0,Education,2.0,5.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,6.0,7.0,8.0,9.0,9.0,8.0,8.0,8.0,6.0,8.0,,10.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,20.0,15.0,15.0,30.0,20.0,10.0,20.0,10.0,10.0,7.0,9.0,6.0,8.0,3.0,7.0,9.0,6.0,6.0,1.0,1,6.0,7.0,8.0,8.0,6.0,6.0,6.0,7.0,0.0,2.0,,,,,,,,,,,,7.0,3.0,3.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,20.0,30.0,10.0,20.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,10.0,7.0,9.0,7.0,7.0,2.0,7.0,9.0,7.0,7.0,2.0,0.0,2.0,1.0,1.0,1.0,10.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,20.0,20.0,10.0,30.0,30.0,20.0,10.0,20.0,10.0,10.0,40.0,10.0,10.0,20.0,10.0,10.0,7.0,8.0,6.0,6.0,1.0,7.0,8.0,6.0,6.0,1.0,Engineering
324,3.0,Female,5,1,13,9,4,4.0,1,1,332.0,1,0.04,0,30.0,4.0,60.0,10.0,10.0,10.0,5.0,5.0,1,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,2.0,23.0,School Psychology,3.0,Bucknell University,"1,290.00","25,335.00",Caucasian_American,8.0,3.0,"Erie, PA",,,1.0,4.0,2.0,school psychologist,3.0,8.0,8.0,6.0,10.0,8.0,8.0,9.0,6.0,9.0,7.0,8.0,10.0,8.0,10.0,10.0,7.0,7.0,5.0,,40.0,10.0,15.0,20.0,10.0,5.0,60.0,5.0,5.0,15.0,5.0,10.0,60.0,5.0,5.0,15.0,5.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,1,1.0,10.0,10.0,6.0,5.0,1.0,3.0,5.0,0.0,0.0,,,,,,,,,,,,7.0,3.0,3.0,,,,,,,85.0,3.0,2.0,5.0,3.0,2.0,85.0,3.0,2.0,5.0,3.0,2.0,85.0,3.0,2.0,5.0,3.0,2.0,8.0,9.0,8.0,9.0,6.0,8.0,9.0,6.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Science/Psychologist
325,4.0,Female,7,1,13,9,6,6.0,2,1,332.0,0,0.37,0,30.0,4.0,60.0,10.0,10.0,10.0,5.0,5.0,0,5.0,10.0,9.0,10.0,8.0,8.0,7.0,5.0,2.0,30.0,School Psychology,3.0,Fordham University,"1,160.00","22,170.00",Hispanic_American,2.0,4.0,New York,,,2.0,6.0,2.0,School Psychologist,3.0,5.0,7.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,9.0,7.0,9.0,9.0,9.0,9.0,4.0,6.0,6.0,,10.0,20.0,20.0,10.0,10.0,30.0,30.0,20.0,10.0,20.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,1,5.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,0.0,2.0,,,,,,,,,,,,6.0,1.0,1.0,,,,,,,10.0,20.0,20.0,10.0,10.0,30.0,30.0,10.0,10.0,20.0,10.0,20.0,30.0,10.0,10.0,20.0,10.0,20.0,7.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social Science/Psychologist
326,5.0,Female,9,1,13,9,3,3.0,9,1,332.0,0,0.48,0,30.0,4.0,60.0,10.0,10.0,10.0,5.0,5.0,0,6.0,10.0,9.0,8.0,8.0,8.0,6.0,2.0,2.0,36.0,Instructional Media and Technology,9.0,Rutgers University,"1,188.00","11,311.00",African American,5.0,5.0,"Westchester, new York",,,2.0,6.0,4.0,Educator,2.0,2.0,2.0,3.0,8.0,8.0,8.0,2.0,2.0,6.0,9.0,6.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,,15.0,15.0,15.0,20.0,20.0,15.0,20.0,10.0,10.0,20.0,20.0,20.0,25.0,15.0,10.0,25.0,10.0,15.0,8.0,9.0,6.0,9.0,8.0,8.0,8.0,7.0,7.0,6.0,1,7.0,10.0,8.0,10.0,,9.0,8.0,9.0,0.0,5.0,,,,,,,,,,,,7.0,1.0,3.0,,,,,,,20.0,10.0,20.0,20.0,20.0,10.0,40.0,10.0,10.0,10.0,10.0,20.0,50.0,5.0,10.0,20.0,5.0,10.0,7.0,9.0,10.0,9.0,9.0,7.0,9.0,8.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Academia "
327,6.0,Female,11,1,13,9,9,9.0,5,1,332.0,0,0.54,0,30.0,4.0,60.0,10.0,10.0,10.0,5.0,5.0,1,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,2.0,29.0,SIPA / MIA,13.0,University of Arizona,"1,099.00","10,356.00",Caucasian_American,2.0,7.0,USA/American,,,2.0,6.0,3.0,Consulting,7.0,1.0,1.0,5.0,10.0,8.0,7.0,7.0,1.0,6.0,10.0,1.0,9.0,8.0,9.0,9.0,1.0,5.0,5.0,,15.0,10.0,20.0,20.0,20.0,15.0,15.0,10.0,20.0,20.0,20.0,15.0,50.0,10.0,10.0,10.0,0.0,20.0,7.0,7.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,0,5.0,10.0,8.0,8.0,8.0,2.0,8.0,1.0,0.0,0.0,,,,,,,,,,,,5.0,3.0,1.0,,,,,,,15.0,10.0,25.0,10.0,20.0,20.0,25.0,10.0,20.0,15.0,10.0,20.0,50.0,10.0,5.0,15.0,5.0,15.0,8.0,9.0,8.0,8.0,10.0,5.0,8.0,6.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Political Science/International Affairs 
